Aluno,Números Inteiros,Frações,Equações,Geometria Básica,Funções,Trigonometria,Probabilidade,Estatística
Aluno_1,8.7,9.4,9.8,9.5,8.6,3.9,4.4,8.2
Aluno_2,5.6,8.8,5.3,3.6,7.1,4.8,5.0,5.0
Aluno_3,6.0,9.5,8.7,6.8,6.4,8.2,4.0,3.5
Aluno_4,8.2,3.2,4.1,9.9,4.4,6.2,5.9,3.4
Aluno_5,4.5,3.5,5.3,9.0,6.7,4.0,6.5,3.9
Aluno_6,4.8,8.6,4.1,7.3,3.1,6.9,5.9,8.9
Aluno_7,7.8,7.8,4.4,6.2,8.8,8.2,9.2,4.7
Aluno_8,7.5,3.9,9.8,7.0,7.6,9.2,8.5,6.7
Aluno_9,9.1,6.8,6.3,7.6,9.1,8.5,9.6,9.8
Aluno_10,9.8,5.7,9.2,7.0,6.9,4.3,3.6,9.5
Aluno_11,7.4,7.9,6.6,4.8,6.1,6.7,6.5,8.5
Aluno_12,7.4,4.0,3.2,7.4,3.0,4.4,9.0,9.1
Aluno_13,5.5,8.8,5.6,6.3,7.9,9.9,3.2,7.5
Aluno_14,5.9,8.4,4.2,9.8,6.4,9.9,8.3,7.6
Aluno_15,5.4,4.6,5.4,4.2,4.1,7.6,4.6,3.5
Aluno_16,7.6,8.2,9.7,9.0,3.3,7.9,3.6,4.6
Aluno_17,3.4,7.9,6.1,6.4,4.9,9.9,9.1,7.9
Aluno_18,7.7,3.9,4.4,9.9,5.0,3.8,5.9,6.8
Aluno_19,8.9,7.7,5.5,5.6,6.9,7.3,8.2,8.7
Aluno_20,8.0,4.5,3.3,9.9,8.3,9.0,7.3,7.1
Aluno_21,4.5,7.1,6.2,9.8,7.4,3.8,4.1,6.3
Aluno_22,4.7,9.9,3.8,9.2,5.2,6.5,4.2,6.6
Aluno_23,7.5,9.0,9.5,9.7,5.1,8.1,3.3,7.9
Aluno_24,6.2,6.0,8.6,5.8,8.5,6.9,7.0,9.5
Aluno_25,3.1,9.1,4.8,3.8,9.6,8.5,3.5,5.2
Aluno_26,7.2,5.4,8.1,7.8,4.8,3.1,4.5,5.1
Aluno_27,7.2,6.1,4.1,3.6,8.3,8.4,4.8,4.0
Aluno_28,5.9,7.7,9.2,9.5,6.3,7.2,4.5,3.9
Aluno_29,7.4,5.6,7.5,6.4,4.6,3.5,6.3,4.4
Aluno_30,3.1,3.0,9.2,5.1,7.2,8.4,9.0,6.0
Aluno_31,4.9,6.3,5.1,9.5,6.1,9.3,8.1,9.5
Aluno_32,10.0,7.5,9.4,6.0,4.5,3.7,9.8,5.9
Aluno_33,3.9,5.4,5.7,5.6,3.3,4.9,8.9,6.7
Aluno_34,8.2,5.5,9.2,7.0,4.8,5.5,3.3,8.3
Aluno_35,6.6,4.8,9.8,9.0,5.0,5.4,6.3,8.4
Aluno_36,6.4,8.9,8.7,9.2,7.7,6.6,5.0,3.7
Aluno_37,5.1,3.4,9.8,9.7,6.9,3.7,5.6,9.7
Aluno_38,4.1,7.4,4.6,4.2,4.6,3.8,6.8,6.6
Aluno_39,5.5,9.8,3.2,4.0,7.6,9.8,6.3,3.9
Aluno_40,4.1,6.6,8.1,6.8,8.6,6.1,5.3,3.1
Aluno_41,4.4,6.0,6.8,3.6,3.3,9.0,9.5,4.6
Aluno_42,5.9,8.4,4.3,9.2,9.5,8.6,10.0,7.1
Aluno_43,6.3,5.6,4.2,6.0,3.6,5.5,9.7,6.8
Aluno_44,7.2,4.8,5.2,8.9,5.9,4.0,3.9,8.0
Aluno_45,6.9,8.7,6.8,5.0,10.0,9.2,7.0,7.6
Aluno_46,3.6,8.0,9.4,8.7,5.9,9.1,9.1,4.4
Aluno_47,7.4,3.8,4.2,6.3,5.8,5.8,5.4,8.4
Aluno_48,9.8,9.5,3.7,8.0,6.9,5.1,9.2,3.6
Aluno_49,4.4,6.0,8.5,9.4,7.4,5.1,3.4,3.2
Aluno_50,6.8,9.6,6.6,6.0,5.8,5.0,7.8,3.3
